Client;Sex;Age;Tenure;Count_CA;Count_SA;Count_MF;Count_OVD;Count_CC;Count_CL;ActBal_CA;ActBal_SA;ActBal_MF;ActBal_OVD;ActBal_CC;ActBal_CL;flow_CA;TransactionsCred_CA;VolumeDebCash_Card;VolumeDebCashless_Card;VolumeDeb_PaymentOrder;TransactionsDeb_CA;TransactionsDebCash_Card;TransactionsDeb_PaymentOrder;Sale_MF;Sale_CC;Sale_CL;Revenue_MF;Revenue_CC;Revenue_CL
12;1;45;155;1;0.0;0.0;0.0;0.0;0.0;1075.475;0.0;0.0;0.0;0.0;0.0;-303.4507142857143;3.0;285.7142857142857;393.6082142857143;87.53571428571429;19.0;1.0;4.0;;;;;;
13;0;66;132;1;1.0;0.0;0.0;0.0;1.0;353.83964285714285;5.8325000000000005;0.0;0.0;0.0;3458.2957142857144;-62.72321428571422;3.0;339.2857142857143;173.43214285714288;312.5357142857143;39.0;6.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0
14;0;38;95;1;1.0;2.0;0.0;1.0;1.0;23.34464285714285;403.65928571428566;13184.9225;0.0;53.13214285714286;17062.324285714287;1581.016428571429;7.0;625.0;399.49392857142857;383.5357142857143;21.0;5.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0
15;1;26;174;1;0.0;0.0;0.0;0.0;0.0;1.5453571428571429;0.0;0.0;0.0;0.0;0.0;26.633928571428573;2.0;0.0;17.410714285714285;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
16;1;46;149;1;1.0;2.0;0.0;0.0;0.0;10015.924642857144;31.65857142857143;68246.33499999999;0.0;0.0;0.0;-153.11642857142851;2.0;0.0;59.26428571428572;479.6071428571428;11.0;0.0;10.0;;;;;;
17;0;64;150;1;0.0;0.0;0.0;0.0;0.0;338.77642857142854;0.0;0.0;0.0;0.0;0.0;-3691.0407142857143;4.0;803.5714285714286;168.92607142857145;4023.767857142857;33.0;5.0;20.0;0.0;0.0;0.0;0.0;0.0;0.0
18;1;25;41;1;0.0;0.0;0.0;1.0;0.0;935.9632142857143;0.0;0.0;0.0;1016.2925;0.0;1116.7575;2.0;703.5714285714286;712.6075;266.42857142857144;24.0;6.0;7.0;;;;;;
19;0;46;94;1;1.0;0.0;0.0;0.0;0.0;26118.09857142857;71661.59285714287;0.0;0.0;0.0;0.0;664.0246428571429;2.0;0.0;0.0;144.12535714285715;5.0;0.0;4.0;;;;;;
20;1;27;181;1;1.0;0.0;0.0;0.0;0.0;2194.472142857143;18302.0625;0.0;0.0;0.0;0.0;230.12142857142857;3.0;107.14285714285714;10.714285714285714;103.57142857142856;7.0;3.0;3.0;0.0;1.0;0.0;0.0;3.8225;0.0
21;0;24;60;1;1.0;0.0;0.0;0.0;0.0;434.7425;173499.86285714287;0.0;0.0;0.0;0.0;-96.35321428571427;2.0;178.57142857142858;259.18928571428575;64.28571428571429;22.0;4.0;3.0;0.0;1.0;0.0;0.0;3.607142857142857;0.0
22;1;54;0;1;0.0;0.0;0.0;0.0;0.0;2492.1467857142857;0.0;0.0;0.0;0.0;0.0;-1163.667142857143;7.0;1392.6821428571427;466.84;1273.107142857143;29.0;4.0;9.0;0.0;1.0;1.0;0.0;1.1071428571428572;30.560357142857143
24;0;29;23;1;0.0;0.0;0.0;0.0;0.0;227.31107142857144;0.0;0.0;0.0;0.0;0.0;239.0246428571428;3.0;0.0;258.425;639.5357142857143;22.0;0.0;15.0;;;;;;
25;0;97;181;1;0.0;0.0;0.0;0.0;0.0;79.38107142857143;0.0;0.0;0.0;0.0;0.0;488.45214285714275;4.0;121.42857142857144;202.5392857142857;0.0;19.0;5.0;0.0;;;;;;
26;0;27;24;1;0.0;1.0;1.0;0.0;0.0;1868.2342857142853;0.0;61064.28571428572;0.0;0.0;0.0;4.072857142857174;3.0;457.1428571428572;0.0;16.178571428571427;7.0;4.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0
27;1;62;181;1;0.0;0.0;1.0;0.0;0.0;1649.98;0.0;0.0;0.0;0.0;0.0;10066.710714285715;3.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;220.4882142857143;0.0;0.0
29;0;60;150;1;0.0;0.0;1.0;0.0;0.0;373.3542857142857;0.0;0.0;0.0;0.0;0.0;0.0;4.0;92.85714285714286;0.0;89.28571428571429;4.0;1.0;1.0;0.0;1.0;0.0;0.0;4.286785714285714;0.0
30;1;54;2;1;1.0;2.0;1.0;1.0;0.0;162.48250000000002;0.3239285714285714;0.0;510.7796428571429;26.38357142857143;0.0;2017.6914285714292;5.0;528.5714285714286;378.5357142857143;2128.636785714286;19.0;4.0;9.0;;;;;;
31;0;59;97;1;0.0;0.0;0.0;1.0;1.0;2336.8507142857143;0.0;0.0;0.0;613.6017857142857;679.5007142857143;-1641.3871428571426;2.0;57.142857142857146;1320.2964285714286;843.8278571428572;41.0;1.0;13.0;0.0;0.0;0.0;0.0;0.0;0.0
32;1;29;15;2;0.0;0.0;1.0;0.0;1.0;12295.25857142857;0.0;0.0;0.0;0.0;14708.57142857143;0.0;8.0;385.7142857142857;0.0;280.2857142857143;10.0;4.0;2.0;;;;;;
33;1;71;150;1;0.0;0.0;0.0;0.0;0.0;18635.575357142858;0.0;0.0;0.0;0.0;0.0;94.72928571428588;5.0;139.28571428571428;56.73571428571428;436.4285714285714;13.0;2.0;6.0;0.0;1.0;1.0;0.0;3.25;14.989642857142856
34;0;48;104;1;1.0;3.0;1.0;1.0;0.0;188.60857142857145;1343.258928571429;0.0;0.0;728.6689285714285;0.0;10450.929285714286;4.0;1107.142857142857;844.5753571428571;5775.094285714286;19.0;6.0;11.0;1.0;0.0;0.0;0.6010714285714285;0.0;0.0
35;1;66;31;1;0.0;0.0;1.0;0.0;0.0;14.863214285714289;0.0;0.0;0.0;0.0;0.0;-698.2032142857142;1.0;107.14285714285714;290.49285714285713;245.78571428571428;21.0;6.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0
36;0;49;263;1;1.0;2.0;0.0;0.0;0.0;60.99785714285714;1912.6325;3697.8375;0.0;0.0;0.0;7142.885;2.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.2380357142857143;0.0;0.0
37;0;30;172;1;1.0;0.0;0.0;0.0;0.0;19.013571428571428;3850.1732142857145;0.0;0.0;0.0;0.0;298.4525;2.0;382.1428571428572;265.8803571428571;238.92857142857144;32.0;12.0;2.0;0.0;1.0;0.0;0.0;0.6428571428571429;0.0
38;0;27;12;1;1.0;0.0;0.0;0.0;0.0;6398.112142857143;7908.883214285714;0.0;0.0;0.0;0.0;30.178928571428855;4.0;307.1428571428572;219.42964285714285;427.7142857142857;26.0;4.0;9.0;0.0;0.0;0.0;0.0;0.0;0.0
39;1;78;51;1;0.0;0.0;0.0;0.0;1.0;1548.2375;0.0;0.0;0.0;0.0;286.72357142857146;-132.14499999999987;3.0;196.42857142857144;336.8703571428572;71.42857142857143;33.0;1.0;1.0;;;;;;
40;1;27;33;1;0.0;0.0;0.0;0.0;0.0;871.7367857142857;0.0;0.0;0.0;0.0;0.0;-18.034642857142856;1.0;0.0;0.0;18.035714285714285;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
41;1;20;198;1;0.0;0.0;1.0;0.0;0.0;194.9557142857143;0.0;0.0;1373.3428571428572;0.0;0.0;689.7178571428569;4.0;310.7142857142857;523.9107142857143;107.14285714285714;18.0;6.0;1.0;;;;;;
42;1;23;4;1;0.0;12.0;0.0;0.0;0.0;875.3714285714286;0.0;0.0;0.0;0.0;0.0;96.54499999999996;4.0;178.57142857142858;68.53571428571429;296.07142857142856;9.0;1.0;6.0;1.0;0.0;0.0;15.275714285714288;0.0;0.0
43;0;65;83;1;0.0;0.0;1.0;0.0;0.0;26315.770357142854;0.0;0.0;0.0;0.0;0.0;-95.5942857142852;18.0;410.7142857142857;334.59785714285715;551.6428571428571;37.0;7.0;13.0;1.0;1.0;0.0;73.04178571428572;1.9642857142857144;0.0
44;0;35;51;1;0.0;0.0;0.0;0.0;0.0;186.8460714285714;0.0;0.0;0.0;0.0;0.0;-362.44642857142867;1.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;1.0;0.0;0.0;4.464285714285714;0.0
45;1;63;52;1;1.0;0.0;0.0;0.0;0.0;0.0;38757.89464285714;0.0;0.0;0.0;0.0;-3.3842857142857143;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;15.393928571428573;5.556785714285715
46;1;45;95;1;1.0;1.0;0.0;0.0;0.0;503.9935714285714;3628.388571428572;1891.0521428571428;0.0;0.0;0.0;-208.44571428571453;5.0;964.2857142857144;407.1660714285714;591.8571428571429;32.0;5.0;16.0;0.0;1.0;0.0;0.0;7.152500000000001;0.0
47;1;45;229;1;1.0;5.0;0.0;0.0;0.0;622.2275;1537.0542857142857;0.0;0.0;0.0;0.0;-1060.2057142857143;1.0;0.0;6.073928571428572;1053.375;22.0;0.0;19.0;0.0;0.0;1.0;0.0;0.0;4.496071428571429
48;1;64;92;1;0.0;5.0;1.0;0.0;0.0;2418.3175;0.0;59721.75928571429;0.0;0.0;0.0;52.439285714285745;2.0;178.57142857142858;0.0;128.67857142857142;8.0;1.0;6.0;0.0;1.0;0.0;0.0;0.8939285714285715;0.0
49;0;46;19;2;0.0;0.0;0.0;0.0;0.0;4.145357142857143;0.0;0.0;0.0;0.0;0.0;304.0239285714286;9.0;0.0;0.0;108.67857142857144;3.0;0.0;2.0;0.0;1.0;0.0;0.0;15.24642857142857;0.0
50;0;33;109;1;0.0;0.0;0.0;0.0;0.0;169.5635714285714;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
51;0;67;85;1;1.0;0.0;1.0;0.0;0.0;1856.7185714285715;5.896071428571429;0.0;0.0;0.0;0.0;0.0075;1.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;
52;0;43;53;1;0.0;0.0;0.0;1.0;0.0;960.5725;0.0;0.0;0.0;0.4642857142857143;0.0;-1.9642857142857144;0.0;17.857142857142858;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
53;1;64;125;1;1.0;9.0;1.0;1.0;0.0;0.0;7522.666428571429;83343.19785714286;531.1228571428571;398.3478571428572;0.0;-1100.7075000000004;3.0;1157.142857142857;1104.9892857142856;3241.5910714285715;68.0;8.0;34.0;0.0;0.0;0.0;0.0;0.0;0.0
54;1;38;149;1;0.0;0.0;0.0;0.0;1.0;4.55;0.0;0.0;0.0;0.0;7857.142857142857;73.64285714285711;2.0;0.0;0.0;107.14285714285714;4.0;0.0;1.0;;;;;;
55;0;51;137;1;0.0;0.0;0.0;0.0;0.0;735.1589285714286;0.0;0.0;0.0;0.0;0.0;19.86750000000029;5.0;0.0;0.0;1098.5;13.0;0.0;6.0;;;;;;
56;1;54;105;1;1.0;0.0;0.0;0.0;0.0;583.7142857142857;2907.094285714286;0.0;0.0;0.0;0.0;486.15821428571445;2.0;314.2857142857143;164.46;0.0;10.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
57;1;28;157;1;0.0;0.0;0.0;0.0;0.0;1155.26;0.0;0.0;0.0;0.0;0.0;-49.3775;20.0;107.14285714285714;34.735;36.57142857142857;6.0;1.0;1.0;;;;;;
58;0;45;49;1;0.0;6.0;0.0;0.0;0.0;1263.0528571428572;0.0;1793.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
59;0;32;149;1;0.0;0.0;0.0;0.0;0.0;5676.246428571429;0.0;0.0;0.0;0.0;0.0;364.31035714285713;2.0;0.0;0.0;0.0;2.0;0.0;0.0;;;;;;
60;0;20;28;1;0.0;0.0;0.0;0.0;0.0;3891.116071428572;0.0;0.0;0.0;0.0;0.0;354.44;2.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
62;1;51;113;1;0.0;0.0;0.0;0.0;0.0;317.9525;0.0;0.0;0.0;0.0;0.0;59.93321428571426;2.0;139.28571428571428;0.0;111.5;4.0;2.0;1.0;;;;;;
63;1;37;29;1;1.0;2.0;0.0;0.0;0.0;351.8014285714286;17220.452857142856;5616.197857142857;0.0;0.0;0.0;-8.928571428571445;2.0;0.0;0.0;361.2878571428572;4.0;0.0;3.0;;;;;;
64;0;61;38;1;0.0;0.0;1.0;0.0;0.0;0.7596428571428572;0.0;0.0;0.0;0.0;0.0;-173.65785714285744;5.0;535.7142857142857;518.1278571428571;393.0353571428572;51.0;3.0;4.0;;;;;;
65;0;67;180;1;0.0;0.0;0.0;0.0;0.0;220.45892857142857;0.0;0.0;0.0;0.0;0.0;1.0717857142856815;4.0;75.0;18.571428571428573;85.82142857142857;19.0;6.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0
66;1;62;91;1;1.0;1.0;0.0;1.0;0.0;101.32392857142858;4104.848928571429;0.0;0.0;671.9992857142857;0.0;-9965.367857142857;1.0;0.0;962.9582142857143;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
68;1;54;20;1;0.0;0.0;1.0;0.0;0.0;4714.448214285714;0.0;0.0;0.0;0.0;0.0;59.03499999999997;4.0;678.5553571428571;34.339285714285715;10.714285714285714;31.0;13.0;1.0;0.0;1.0;0.0;0.0;3.5;0.0
69;1;41;17;1;0.0;0.0;0.0;0.0;0.0;1909.81;0.0;0.0;0.0;0.0;0.0;2862.5225;3.0;135.71428571428572;199.08214285714288;653.7003571428571;21.0;2.0;9.0;1.0;0.0;0.0;42.71660714285714;0.0;0.0
70;1;38;152;1;0.0;0.0;0.0;0.0;0.0;346.48535714285714;0.0;0.0;0.0;0.0;0.0;53.92178571428576;3.0;632.1428571428571;130.44285714285715;937.6046428571428;19.0;4.0;10.0;;;;;;
71;0;43;15;1;0.0;0.0;1.0;0.0;0.0;53.59607142857143;0.0;0.0;0.0;0.0;0.0;-30.069642857142867;2.0;178.57142857142858;0.0;120.32142857142856;6.0;2.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0
72;1;47;129;1;0.0;0.0;0.0;0.0;0.0;1377.374285714286;0.0;0.0;0.0;0.0;0.0;-830.2828571428572;4.0;357.1428571428572;0.0;880.1071428571429;13.0;1.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0
73;1;87;163;1;1.0;1.0;1.0;0.0;0.0;179.35714285714286;21.01607142857143;53571.42857142857;0.0;0.0;0.0;-520.2192857142854;3.0;0.0;0.0;304.51642857142855;3.0;0.0;2.0;0.0;1.0;1.0;0.0;1.7857142857142858;18.35392857142857
74;1;63;20;1;1.0;0.0;0.0;1.0;0.0;736.7660714285714;0.0;0.0;0.0;18.76214285714286;0.0;86.86821428571443;3.0;214.28571428571428;0.0;492.6785714285714;5.0;3.0;2.0;;;;;;
75;1;59;57;1;1.0;35.0;0.0;0.0;0.0;3707.065714285714;5589.0225;4392.478571428571;0.0;0.0;0.0;-15.03321428571428;2.0;53.57142857142857;188.67857142857144;266.5357142857143;13.0;1.0;5.0;1.0;0.0;0.0;0.0048214285714285;0.0;0.0
76;0;66;178;1;0.0;0.0;1.0;1.0;1.0;178.30857142857144;0.0;0.0;0.0;886.5778571428572;3447.6735714285714;-900.4432142857142;2.0;285.7142857142857;39.42857142857143;0.0;9.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
77;1;71;2;1;0.0;0.0;0.0;0.0;0.0;168.1757142857143;0.0;0.0;0.0;0.0;0.0;281.8274999999999;2.0;232.14285714285717;743.915;492.6428571428572;16.0;1.0;4.0;;;;;;
78;0;24;142;1;0.0;0.0;0.0;0.0;0.0;3684.7542857142857;0.0;0.0;0.0;0.0;0.0;1591.6985714285715;5.0;435.4785714285714;1592.8235714285713;683.6071428571429;64.0;3.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0
79;0;41;75;1;2.0;1.0;0.0;0.0;0.0;340.195;901.5539285714284;4771.731071428571;0.0;0.0;0.0;0.0003571428571428;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
81;1;86;19;1;0.0;0.0;0.0;0.0;0.0;5860.190714285714;0.0;0.0;0.0;0.0;0.0;-3.319642857142857;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
82;0;20;151;1;0.0;1.0;0.0;0.0;0.0;11324.907857142856;0.0;34612.790357142854;0.0;0.0;0.0;115.54035714285726;4.0;357.1428571428572;0.0;525.2857142857143;16.0;1.0;14.0;0.0;0.0;1.0;0.0;0.0;5.396428571428571
83;0;43;111;1;3.0;7.0;0.0;0.0;0.0;14.855;90800.88214285715;0.0;0.0;0.0;0.0;343.64892857142854;3.0;0.0;0.0;224.39285714285717;4.0;0.0;3.0;0.0;1.0;1.0;0.0;5.25;28.685357142857143
84;1;66;235;2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;
85;0;25;60;1;0.0;0.0;1.0;0.0;0.0;364.4975;0.0;0.0;0.0;0.0;0.0;76.24642857142857;3.0;71.42857142857143;8.892857142857142;29.214285714285715;6.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0
86;1;36;31;1;0.0;0.0;0.0;0.0;0.0;34.32214285714286;0.0;0.0;0.0;0.0;0.0;8232.615;4.0;460.7142857142857;0.0;203.67857142857144;15.0;6.0;5.0;1.0;0.0;0.0;1.4573214285714289;0.0;0.0
87;1;45;58;1;0.0;19.0;0.0;0.0;0.0;826.4403571428572;0.0;1035.577142857143;0.0;0.0;0.0;-3.3925;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;3.875178571428571;0.0;0.0
88;1;21;33;1;0.0;0.0;0.0;0.0;0.0;7153.650000000001;0.0;0.0;0.0;0.0;0.0;17.50785714285712;3.0;46.42857142857143;62.385714285714286;0.0;12.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
89;0;40;118;1;1.0;2.0;0.0;0.0;0.0;137.70142857142858;893.1703571428571;1462.0660714285714;0.0;0.0;0.0;52.975000000000364;5.0;1089.2857142857142;82.43107142857143;715.4350000000001;23.0;8.0;13.0;;;;;;
90;0;20;81;1;0.0;0.0;0.0;0.0;0.0;649.5714285714286;0.0;0.0;0.0;0.0;0.0;28.18964285714287;2.0;35.714285714285715;3.382142857142857;35.82142857142857;4.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
91;1;35;61;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;21.67357142857145;2.0;571.4285714285714;503.25;121.42857142857144;29.0;4.0;2.0;;;;;;
92;1;59;149;1;0.0;0.0;0.0;0.0;0.0;2728.945714285714;0.0;0.0;0.0;0.0;0.0;-254.1478571428579;6.0;0.0;828.6692857142858;5577.774285714286;36.0;0.0;12.0;0.0;0.0;0.0;0.0;0.0;0.0
93;0;31;8;1;2.0;0.0;1.0;1.0;0.0;8.870357142857143;3655.818928571429;0.0;23.064285714285717;1.4285714285714286;0.0;11.72321428571422;17.0;32.142857142857146;0.0;220.32142857142856;16.0;1.0;8.0;0.0;1.0;0.0;0.0;3.392857142857143;0.0
94;1;22;189;1;1.0;0.0;0.0;0.0;0.0;8079.0425;7620.556071428572;0.0;0.0;0.0;0.0;160.2739285714286;3.0;232.14285714285717;79.0;55.30357142857143;7.0;1.0;3.0;;;;;;
95;1;35;151;1;0.0;0.0;1.0;0.0;1.0;3662.217857142857;0.0;0.0;0.0;0.0;2812.0667857142857;-499.9999999999998;13.0;1214.2857142857142;0.0;60.392857142857146;17.0;6.0;2.0;0.0;0.0;1.0;0.0;0.0;6.071428571428571
96;1;30;151;1;1.0;2.0;0.0;0.0;0.0;22.32857142857143;2077.6125;14285.714285714286;0.0;0.0;0.0;327.94142857142856;2.0;0.0;0.0;108.57142857142856;3.0;0.0;2.0;0.0;1.0;0.0;0.0;6.107142857142857;0.0
97;0;71;135;1;1.0;0.0;1.0;0.0;1.0;67.99249999999999;6082.56;0.0;142.06607142857143;0.0;809.465;245.88035714285752;14.0;1057.142857142857;304.33178571428573;433.1928571428571;44.0;9.0;10.0;;;;;;
98;1;51;150;1;0.0;0.0;1.0;0.0;0.0;468.4696428571429;0.0;0.0;0.0;0.0;0.0;-83.01642857142855;5.0;0.0;7.159999999999999;226.03571428571428;7.0;0.0;5.0;;;;;;
99;0;68;150;1;0.0;12.0;0.0;0.0;0.0;22.898571428571422;0.0;4689.070357142858;0.0;0.0;0.0;138.11642857142806;5.0;0.0;951.415;698.7142857142857;34.0;0.0;15.0;;;;;;
100;0;39;86;1;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;247.4932142857143;802.8071428571428;41.67964285714288;3.0;35.714285714285715;413.40857142857146;327.2857142857143;13.0;1.0;8.0;;;;;;
101;1;63;139;1;1.0;2.0;0.0;0.0;0.0;473.3592857142857;452.2821428571429;14429.051428571427;0.0;0.0;0.0;-201.04035714285712;3.0;357.1428571428572;0.0;10.821428571428571;5.0;1.0;1.0;;;;;;
102;1;20;172;1;0.0;0.0;1.0;0.0;0.0;48.77107142857143;0.0;0.0;114.14;0.0;0.0;37.303928571428514;33.0;232.14285714285717;786.3367857142857;202.24964285714285;58.0;4.0;6.0;1.0;0.0;1.0;2.9580357142857143;0.0;6.9525
103;0;80;199;1;0.0;0.0;0.0;0.0;0.0;42.99071428571428;0.0;0.0;0.0;0.0;0.0;-6.427857142857143;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;12.256428571428572;0.0
105;1;49;150;1;0.0;0.0;0.0;0.0;0.0;670.2957142857142;0.0;0.0;0.0;0.0;0.0;362.73714285714266;4.0;303.57142857142856;374.7957142857143;0.0;13.0;3.0;0.0;;;;;;
106;0;48;88;1;0.0;3.0;0.0;0.0;0.0;112.35;0.0;0.0;0.0;0.0;0.0;425.3271428571428;2.0;0.0;0.0;316.9642857142857;7.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0
107;0;26;181;1;0.0;0.0;0.0;0.0;0.0;23.330714285714286;0.0;0.0;0.0;0.0;0.0;0.0132142857142857;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
108;0;39;82;1;2.0;0.0;1.0;0.0;0.0;816.8389285714286;0.0;0.0;0.0;0.0;0.0;705.8260714285714;6.0;0.0;31.607142857142858;430.5;10.0;0.0;7.0;0.0;0.0;0.0;0.0;0.0;0.0
109;1;64;151;1;0.0;0.0;0.0;0.0;0.0;1113.5185714285717;0.0;0.0;0.0;0.0;0.0;-258.61571428571415;5.0;589.2857142857143;471.1089285714285;909.6157142857144;60.0;11.0;10.0;;;;;;
110;1;55;76;1;1.0;1.0;0.0;0.0;0.0;62.47035714285715;1146.4957142857145;0.0;0.0;0.0;0.0;17799.106785714284;6.0;0.0;0.0;395.4285714285714;7.0;0.0;7.0;;;;;;
111;0;34;94;1;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;31.5575;0.0;0.0;-560.0192857142856;4.0;1250.0;267.8364285714286;369.5357142857143;15.0;2.0;6.0;;;;;;
112;0;73;31;1;0.0;0.0;0.0;0.0;0.0;204.46142857142857;0.0;0.0;0.0;0.0;0.0;-65.28821428571428;4.0;146.42857142857142;76.14785714285713;0.0;21.0;8.0;0.0;0.0;0.0;1.0;0.0;0.0;12.5
113;0;43;150;1;0.0;0.0;1.0;0.0;1.0;50.78071428571428;0.0;0.0;0.0;0.0;17300.489642857145;-34.84;4.0;107.14285714285714;16.482142857142858;0.0;9.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
114;0;26;13;1;0.0;0.0;0.0;1.0;0.0;35.714285714285715;0.0;0.0;0.0;1068.2096428571429;0.0;389.3871428571429;6.0;107.14285714285714;41.86857142857143;132.14285714285714;16.0;7.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0
115;0;57;144;1;0.0;0.0;0.0;0.0;0.0;415.8978571428571;0.0;0.0;0.0;0.0;0.0;3390.618928571428;4.0;500.0;11.960714285714284;0.0;6.0;2.0;0.0;;;;;;
116;0;47;239;1;0.0;0.0;0.0;0.0;0.0;637.8357142857143;0.0;0.0;0.0;0.0;0.0;-35.84785714285715;2.0;0.0;124.96428571428572;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
117;0;43;153;4;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-136.98000000000002;8.0;0.0;522.0407142857142;705.5289285714287;31.0;0.0;11.0;;;;;;
